,Mission name,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Photo
631,Flock-3p 44,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
632,Flock-3p 45,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
633,Flock-3p 46,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
634,Flock-3p 47,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
635,Flock-3p 48,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
636,Flock-3p 49,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
637,Flock-3p 50,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
638,Flock-3p 51,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
639,Flock-3p 52,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
640,Flock-3p 53,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
641,Flock-3p 54,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
642,Flock-3p 55,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
643,Flock-3p 56,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
644,Flock-3p 57,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
645,Flock-3p 58,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
646,Flock-3p 59,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
647,Flock-3p 60,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
648,Flock-3p 61,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
649,Flock-3p 62,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
650,Flock-3p 63,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
651,Flock-3p 64,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
652,Flock-3p 65,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
653,Flock-3p 66,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
654,Flock-3p 67,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
655,Flock-3p 68,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
656,Flock-3p 69,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
657,Flock-3p 70,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
658,Flock-3p 71,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
659,Flock-3p 72,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
660,Flock-3p 73,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
661,Flock-3p 74,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
662,Flock-3p 75,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
663,Flock-3p 76,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
664,Flock-3p 77,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
665,Flock-3p 78,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
666,Flock-3p 79,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
667,Flock-3p 80,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
668,Flock-3p 81,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
669,Flock-3p 82,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
670,Flock-3p 83,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
671,Flock-3p 84,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
672,Flock-3p 85,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
673,Flock-3p 86,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
674,Flock-3p 87,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
675,Flock-3p 88,Planet Labs,US,3U,2017-02-15,Operational,Constellation for optical Earth observation with 3-5m resolution.,
676,INS 1A (ISRO Nanosatellite),ISRO,India,8.4 kg,2017-02-15,Unknown,Radiometer to measure reflected sunlight from Earth and Single Event Upsets monitor.,
677,INS 1B (ISRO Nanosatellite),ISRO,India,9.7 kg,2017-02-15,Unknown,Radiometer to measure reflected sunlight from Earth and Single Event Upsets monitor.,
678,Lemur-2 22 Jobanputra (FM23),Spire,US,3U,2017-02-15,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
679,Lemur-2 23 Spire-Minions (FM24),Spire,US,3U,2017-02-15,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
680,Lemur-2 24 Satchmo (FM25),Spire,US,3U,2017-02-15,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
681,Lemur-2 25 RDeaton (FM26),Spire,US,3U,2017-02-15,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
682,Lemur-2 26 Smita-Sharad (FM27),Spire,US,3U,2017-02-15,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
683,Lemur-2 27 Mia-Grace (FM28),Spire,US,3U,2017-02-15,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
684,Lemur-2 28 NoguesCorreig (FM29),Spire,US,3U,2017-02-15,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
685,Lemur-2 29 Tachikoma (FM30),Spire,US,3U,2017-02-15,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
686,"Nayif-1 (Emirates OSCAR 88, EO 88)",Mohammed Bin Rashid Space Centre (MBRSC),United Arab Emirates,1U,2017-02-15,"Operational, ?",Educational training and amateur radio communications.,
687,PEASSS (PiezoElectric Assisted Smart Satellite Structure),ISISpace,Netherlands,3U,2017-02-15,Operational,Demonstrate piezo actuated panels for power generation and instrument pointing.,
688,Aalto-2 (FI01),Aalto University,Finland,2U,2017-04-18,"Was operational, Reentered",Part of QB50 to study lower termosphere.,
689,ALTAIR 1 (ALTAIR Pathfinder),Millennium Space Systems,US,6U (1x6U),2017-04-18,"Reentered, Was operational",Test flight of ALTAIR bus.,
690,"Aoxiang-1 (Ao Xiang-1, Aoxiang yi hao, BE04, CN04)",Northwestern Polytechnical University,China,2U,2017-04-18,"Reentered, Operational",Part of QB50 to study lower termosphere.,
691,"Atlantis (QBUS 2, US02)",University of Michigan,US,2U,2017-04-18,"Reentered, Operational",Part of QB50 to study lower termosphere.,
692,BeEagleSat (TR01),Istanbul Technical University,Turkey,2U,2017-04-18,"Was semi-operational, Reentered",Part of QB50 to study lower termosphere.,
693,"Challenger (QBUS 1, US01)",University of Colorado Boulder,US,2U,2017-04-18,"Reentered, Operational",Part of QB50 to study lower termosphere.,
694,"Columbia (QBUS 4, US04)",University of Turabo,US,2U,2017-04-18,"Reentered, Operational",Part of QB50 to study lower termosphere.,
695,"CSUNSat 1 (CSUNSat1, California State University Northridge Sat)",California State University,US,2U,2017-04-18,"Was operational, Reentered",Part of QB50 to study lower termosphere.,
696,"CXBN 2 (The Cosmic X-Ray Background NanoSat-2, CXBN-2)",Morehead State University,US,2U,2017-04-18,"No signal, Reentered",Measure diffuse x-ray background radiation.,
697,"Duchifat-2 (Hoopoe-2, IL01)",Herzliya Science Centre,Israel,2U,2017-04-18,"Reentered, Operational",Part of QB50 to study lower termosphere.,
698,"DUTHSat (DUTH, GR01)",Democritus University of Thrace,Greece,2U,2017-04-18,"Was operational, Reentered",Part of QB50 to study lower termosphere.,
699,"Ex-Alta 1 (Experimental Albertan #1, EXALTA-1, CA03)",University of Alberta,Canada,3U,2017-04-18,"Reentered, Operational",Part of QB50 to study lower termosphere and demonstrate fluxgate magnetometer.,
700,HavelSat (TR02),Istanbul Technical University,Turkey,2U,2017-04-18,"Was semi-operational, Reentered",Part of QB50 to study lower termosphere.,
701,"i-INSPIRE II (Inspire-2, AU03)",University of Sydney,Australia,2U,2017-04-18,"Reentered, Operational",Part of QB50 to study lower termosphere.,
702,IceCube (Earth-1),NASA Goddard Space Flight Center,US,3U,2017-04-18,"Reentered, Operational",Demonstrate 883-gigahertz submillimeter-wave receiver to measure atmospheric ice.,
703,KySat-3 (SGSat),University of Kentucky,US,1U,2017-04-18,"Reentered, No signal",Evaluate a new Stellar Gyroscope attitude determination system.,
704,Lemur-2 30 JennyBarna (FM31),Spire,US,3U,2017-04-18,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
705,Lemur-2 31 Angela (FM32),Spire,US,3U,2017-04-18,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
706,Lemur-2 32 SpiroVision (FM33),Spire,US,3U,2017-04-18,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
707,Lemur-2 33 RobMoore (FM34),Spire,US,3U,2017-04-18,Operational,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
708,"LilacSat-1 (Zidingxiang-1, BE02, CN02)",Harbin Institute of Technology,China,2U,2017-04-18,"Operational, Reentered",Part of QB50 to study lower termosphere.,
709,"Link (Little Intelligent Nanosatellite of KAIST, KR01)",Korea Advanced Institute of Science and Technology,South Korea,2U,2017-04-18,"Reentered, Was semi-operational",Part of QB50 to study lower termosphere.,
710,NJUST-1 (BE03),Nanjing University of Science and Technology,China,2U,2017-04-18,"Reentered, Semi-operational, ?",Part of QB50 to study lower termosphere.,
711,"nSIGHT (nSIGHT1, nSight-1, AZ02)",SCS-Space,South Africa,2U,2017-04-18,"Reentered, Operational",Part of QB50 to study lower termosphere.,
712,PHOENIX (TW01),National Cheng Kung University,Taiwan,2U,2017-04-18,"Operational, Reentered",Part of QB50 to study lower termosphere.,
713,"PolyITAN-2-SAU (KPI-SAU, UA01)",National Technical University of Ukraine,Ukraine,2U,2017-04-18,"Operational, Reentered",Part of QB50 to study lower termosphere.,
714,"qbee (qbee50-LTU-OC, SE01, OBEE50 LTU-OC )",Luleå University of Technology (LTU),Sweden,2U,2017-04-18,"Semi-operational, Reentered",Part of QB50 to study lower termosphere.,
715,Qbito (ES01),Polytechnics University of Madrid,Spain,2U,2017-04-18,"No signal, Reentered",Part of QB50 to study lower termosphere and demonstrate medium-wave infrared detector.,
716,SHARC Biarri-Point (Spacecraft for High Accuraccy Radar Calibration),Air Force Research Laboratory (AFRL),US,5U,2017-04-18,"Unknown, Reentered, Likely operational",Provide radar calibration for ground based radars.,
717,SNUSat-1 (KR02),Seoul National University,South Korea,2U,2017-04-18,"No signal, Reentered",Part of QB50 to study lower termosphere.,
718,SNUSat-1b (KR03),Seoul National University,South Korea,2U,2017-04-18,"Semi-operational, Reentered",Part of QB50 to study lower termosphere and validate FDIR algorithms.,
719,"SOMP2 (SOMP 2, SOMP-2, DE02)",Dresden University of Technology,Germany,2U,2017-04-18,"No signal, Reentered",Part of QB50 to study lower termosphere and measure atomic oxygen.,
720,SpaceCube (FR05),Mines Paristech,France,2U,2017-04-18,"Reentered, Operational, ?",Part of QB50 to study lower termosphere.,
721,SUSat (AU01),University of Adelaide,Australia,2U,2017-04-18,"No signal, Reentered",Part of QB50 to study lower termosphere.,
722,UNSW-EC0 (AU02),The University of New South Wales,Australia,2U,2017-04-18,"Reentered, Operational",Part of QB50 to study lower termosphere and test GPS-RO receiver.,
723,"UPSat (CubeSat by the University of Patras, GR02)",Libre Space Foundation,Greece,2U,2017-04-18,"Reentered, Was operational, Was semi-operational",Part of QB50 to study lower termosphere.,
724,"X-Cubesat (XCubeSat, FR01)",Ecole Polytechnique,France,2U,2017-04-18,"Operational, Reentered",Part of QB50 to study lower termosphere.,
725,"ZA-AeroSat (AZ01, ZA Aerosat)",Cape Peninsula University of Technology,South Africa,3U,2017-04-18,"Reentered, Semi-operational",Part of QB50 to study lower termosphere.,
726,"SilkRoad-1 01 (Silk Road, Silu 1)",Xi'an Institute of Surveying and Mapping,China,3U,2017-04-20,"Unknown, Reentered",Pathfinder for a constellation of around 30 satellites operating across a variety of wavelengths.,
727,"BIRD-B (Brac Onnesha, BIRDS-1, BIRD BB)",Brac University,Bangladesh,1U,2017-06-03,"Operational, Reentered",Amateur radio communications and educational training.,
728,"BIRD-G (Ghanasat 1, ANUSAT-1, BIRDS-1, BIRD GG)",Kyushu Institute of Technology,Ghana,1U,2017-06-03,"Reentered, No signal",Amateur radio communications and educational training.,
729,"BIRD-J (Toki, BIRDS-1, BIRD JJ)",Kyushu Institute of Technology,Japan,1U,2017-06-03,"Reentered, Was operational",Amateur radio communications and educational training.,
730,"BIRD-M (Mazaalai, NUMSAT 1, BIRDS-1, BIRD MM)",Kyushu Institute of Technology,Mongolia,1U,2017-06-03,"Operational, Reentered",Amateur radio communications and educational training.,
731,"BIRD-N (Nigeria EduSat-1, BIRDS-1, BIRD NN)",Federal University of Technology Akure,Nigeria,1U,2017-06-03,"Was operational, Reentered",Amateur radio communications and educational training.,
732,"Tanyusha-YuZGU 1 (Radioskaf RS-6, Tanyusha-SWSU 1, Tanusha-SWSU 1 Tanusha 1, RS-6S)",Southwestern State University,Russia,3U,2017-06-14,"Reentered, Was operational",Achieve autonomous grouping of satellites in space and measure density of vacuum.,
733,"Tanyusha-YuZGU 2 (Radioskaf RS-7, Tanyusha-SWSU 2, Tanusha-SWSU 2, Tanusha 2)",Southwestern State University,Russia,3U,2017-06-14,"Reentered, Was operational",Achieve autonomous grouping of satellites in space and measure density of vacuum.,
734,"TNS 0-2 (Technologicesky Nanosputnik, TNS-0 No. 2, TNS-0#2)",Southwestern State University,Russia,3U,2017-06-14,"Reentered, Operational",Use of the GlobalStar communication system. Obtain the flight qualification of the instruments and sensors installed onboard.,
735,Aalto-1,Aalto University,Finland,3U,2017-06-23,Operational,Build first Finnish Earth Observation nanosatellite and demonstrate technologies including E-sail.,
736,CICERO-6 (Community Initiative for Continuous Earth Remote Observation),GeoOptics,US,6U,2017-06-23,Was operational,Demonstration of GPS radio occultation sensor that allows the measurement of global weather pattern with high accuracy.,
